"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","story_id: 001  - verification of test log in functinality","0","0","18","0","0"
"","","story_id: 005 - verfiy Doc Status Is Diaplay In Table As Per Filters","0","0","1","0","0"
"","test to create role","","0","1","0","0","0"
"","Data Set Test","story_id: 001  - verify that user is able to Check search Datasets on user page ","0","0","1","0","0"
"","","story_id: 006 -All DropDown Arrow In Table","0","0","1","0","0"
"","","story_id: 002 -verify User Able To Click On Cancel Button","0","0","1","0","0"
"","","story_id: 003 - Create Project With Blank Data","0","0","1","0","0"
"","","story_id: 005 - verify Text Of Audit Tab","0","0","2","0","0"
"","","story_id: 006 - verify That user click On NTS platform admin button and admin popup is display","0","0","0","1","0"
"","","story_id: 004  - Total Count Of Templatesin UserTab ","0","0","1","0","0"
"","","","0","2","0","0","0"
"","","story_id: 004 - Create Project Without Selecting Processing Engine and Templates","0","0","1","0","0"
"","","story_id: 001 - Search Created Project","0","0","1","0","0"
"","","story_id: 006 - Create Project Without  and user","0","0","1","0","0"
"","","story_id: 002 - Update Created Project","1","0","0","0","0"
"","","story_id: 004 -Click On Active Role Toggle Button In UserTab","0","1","0","0","0"
"","test to create role","story_id: 002 - verify role with invalid data details and cancel","0","0","0","1","0"
"","","story_id: 002  - verification of title logo and login with blank details","0","0","1","0","0"
"","","story_id: 005 -The Total Count Of User in UserTab","0","0","1","0","0"
"","","story_id: 003 - verify Total Document Count in project statistics","0","0","0","1","0"
"","Data Set Test","story_id: 002  - verify that user is able to add new category on dataset page","0","0","1","0","0"
"","","story_id: 003 -Create New User and Verify All Text Of Create User","0","0","1","0","0"
"","","story_id: 004 - verify click on cancel button on forgot password","0","1","0","0","0"
"","","story_id: 003  - check add new category on Upload Templates Button","0","0","1","0","0"
"","","story_id: 005 - Create Project Without Role and user","0","0","1","0","0"
"","","story_id: 002 - verify total Count Of Audited and Audit Pending documents","0","0","1","0","0"
"","","story_id: 002 - verify Total Document Count","0","0","0","1","0"
"","","story_id: 002  - Sort List Of Templates ","0","0","1","0","0"
"","Data Set Test","story_id: 004  - verify that user is able to click on Action Button ","0","0","1","0","0"
"","","story_id: 001  - Check Templates on user page ","0","0","1","0","0"
"","test to create role","story_id: 001 - verify that user is able to create new role with permission","0","1","0","0","0"
"","","story_id: 001 -Search project name on user page","0","0","1","0","0"
"","","story_id: 003  - verify that the user is able to Log off the application","0","0","1","0","0"
"","","story_id: 007 -To Add Or Delete Role","0","1","0","0","0"
"","","story_id: 008 -verify User Able To Update Project","0","0","1","0","0"
"","","story_id: 005 - verify total count of ready to proccess document is equal to total count of document in table","0","0","0","1","0"
"","Data Set Test","story_id: 005  - verify that user is able to Count total Users in UserTab ","0","0","1","0","0"
"","","story_id: 003 - verify All Filters Of Filter DropDown","0","0","1","0","0"
"","","story_id: 002 - Verify Report is Downloaded","0","0","1","0","0"
"","","story_id: 004 - verify that user able To see trends According To Selections","0","0","0","1","0"
"","","story_id: 001 - Test organization arrows on analytics page","0","0","0","1","0"
"","Data Set Test","story_id: 003  - verify that user is able to Sort List Of Datasets ","0","0","1","0","0"
"","","story_id: 004 - verify the user able to sort the table from data","0","1","0","0","0"
"","test to create role","story_id: 003 - verify that user is able to create role with valid details","0","0","0","1","0"
"","","story_id: 008 - Verify That user click Drop Down on Analytics Page","0","0","0","1","0"
"","","story_id: 001 - Total Count Of All Document In Analytics Section in ReportTab","0","0","1","0","0"
"","","story_id: 001 - verify Drop Downs Of Analytics And Filters In AuditPage","1","0","0","0","0"
"","","story_id: 007 - verify that user validate the count of total user in analytics page","0","0","0","1","0"
